# Weather station Nizhny Novgorod (airport), Russia, WMO_ID=27553,selection from 01.01.2021 till 31.12.2021, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=27553&lang=en
#
"Local time in Nizhny Novgorod (airport)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"30.12.2021 12:00";"-9.6";"759.9";"767.6";"";"82";"Wind blowing from the south";"2";"4";"5";"100%.";"Continuous fall of snowflakes, slight at time of observation. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"1000-1500";"";"";"10.0";"-12.2";"";"";"";"";"";"";
"30.12.2021 09:00";"-10.3";"760.6";"768.3";"";"82";"Wind blowing from the south";"2";"4";"5";"100%.";"Snow not falling as shower(s). ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"600-1000";"";"";"10.0";"-12.8";"";"";"";"";"";"";
"30.12.2021 06:00";"-11.6";"760.9";"768.7";"";"89";"Wind blowing from the south-southeast";"2";"3";"4";"90  or more, but not 100%";"Continuous fall of snowflakes, slight at time of observation. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"-21.7";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"-13.0";"Trace of precipitation";"12";"";"";"Even layer of loose dry snow covering ground completely.";"36.0";
"30.12.2021 03:00";"-13.7";"762.0";"769.9";"";"89";"variable wind direction";"1";"2";"3";"90  or more, but not 100%";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"-15.2";"";"";"";"";"";"";
"30.12.2021 00:00";"-17.8";"763.1";"771.1";"";"84";"Wind blowing from the south-southeast";"2";"2";"3";"60%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"-19.8";"";"";"";"";"";"";
"29.12.2021 21:00";"-15.7";"763.8";"771.7";"";"86";"Wind blowing from the south-southeast";"1";"3";"3";"70 – 80%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"-17.5";"";"";"";"";"";"";
"29.12.2021 18:00";"-15.1";"764.4";"772.3";"";"86";"Wind blowing from the south-east";"1";"3";"3";"70 – 80%.";" ";"";"";"";"-14.6";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"-16.9";"No precipitation";"12";"";"";"";"";
"29.12.2021 15:00";"-18.1";"764.8";"772.8";"";"83";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"-20.3";"";"";"";"";"";"";
"29.12.2021 12:00";"-18.8";"765.1";"773.2";"";"84";"Wind blowing from the south-southwest";"2";"2";"2";"60%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"-20.9";"";"";"";"";"";"";
"29.12.2021 09:00";"-22.0";"765.0";"773.2";"";"82";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"-24.3";"";"";"";"";"";"";
"29.12.2021 06:00";"-16.1";"764.3";"772.3";"";"85";"Wind blowing from the south";"2";"2";"3";"100%.";" ";"";"";"-23.8";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"60%.";"100-200";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"10.0";"-18.0";"Trace of precipitation";"12";"";"";"Even layer of loose dry snow covering ground completely.";"36.0";
"29.12.2021 03:00";"-23.1";"764.1";"772.3";"";"80";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"-25.6";"";"";"";"";"";"";
"29.12.2021 00:00";"-21.7";"763.3";"771.4";"";"82";"Calm, no wind";"0";"";"";"60%.";"Diamond dust (with or without fog). ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"-23.9";"";"";"";"";"";"";
"28.12.2021 21:00";"-21.6";"762.5";"770.6";"";"81";"Wind blowing from the south";"2";"2";"3";"60%.";"State of sky on the whole unchanged. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"-24.0";"";"";"";"";"";"";
"28.12.2021 18:00";"-19.6";"762.0";"770.1";"";"84";"Wind blowing from the south-southwest";"2";"2";"3";"70 – 80%.";"State of sky on the whole unchanged. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"-12.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"-21.6";"0.4";"12";"";"";"";"";
"28.12.2021 15:00";"-15.8";"761.1";"769.0";"";"83";"Wind blowing from the south-southwest";"3";"4";"5";"70 – 80%.";"Snow not falling as shower(s). ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"-18.1";"";"";"";"";"";"";
"28.12.2021 12:00";"-13.0";"760.6";"768.4";"";"88";"Wind blowing from the west-southwest";"3";"5";"5";"100%.";"Continuous fall of snowflakes, slight at time of observation. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"300-600";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"3.0";"-14.6";"";"";"";"";"";"";
"28.12.2021 09:00";"-20.8";"759.8";"767.9";"";"83";"Wind blowing from the south";"2";"2";"4";"50%.";"State of sky on the whole unchanged. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"-20.9";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"-22.9";"";"";"";"";"";"";
"28.12.2021 06:00";"-15.8";"758.7";"766.6";"";"86";"Wind blowing from the west-southwest";"3";"5";"5";"70 – 80%.";"State of sky on the whole unchanged. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"-17.3";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"-17.6";"Trace of precipitation";"12";"";"";"Even layer of loose dry snow covering ground completely.";"36.0";
"28.12.2021 03:00";"-16.3";"757.3";"765.2";"";"88";"Wind blowing from the south-west";"2";"3";"5";"100%.";"Continuous fall of snowflakes, slight at time of observation. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"200-300";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"10.0";"-17.9";"";"";"";"";"";"";
"28.12.2021 00:00";"-13.4";"755.8";"763.6";"";"82";"Wind blowing from the west-southwest";"3";"5";"7";"100%.";"Continuous fall of snowflakes, slight at time of observation. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"200-300";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"9.0";"-15.8";"";"";"";"";"";"";
"27.12.2021 21:00";"-12.1";"754.5";"762.2";"";"81";"Wind blowing from the west-southwest";"4";"6";"8";"100%.";"Continuous fall of snowflakes, slight at time of observation. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"9.0";"-14.8";"";"";"";"";"";"";
"27.12.2021 18:00";"-13.0";"753.2";"761.0";"";"80";"Wind blowing from the south-west";"5";"7";"8";"70 – 80%.";" ";"";"";"";"-12.3";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"-15.8";"Trace of precipitation";"12";"";"";"";"";
"27.12.2021 15:00";"-12.8";"752.3";"760.0";"";"77";"Wind blowing from the south-west";"4";"6";"9";"70 – 80%.";"Snow not falling as shower(s). ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"-16.0";"";"";"";"";"";"";
"27.12.2021 12:00";"-12.7";"750.8";"758.5";"";"77";"Wind blowing from the south-west";"4";"5";"8";"100%.";"Continuous fall of snowflakes, slight at time of observation. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"10.0";"-15.9";"";"";"";"";"";"";
"27.12.2021 09:00";"-13.1";"749.4";"757.1";"";"77";"Wind blowing from the west-southwest";"5";"7";"8";"70 – 80%.";" ";"";"";"-13.8";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"-16.3";"";"";"";"";"";"";
"27.12.2021 06:00";"-12.7";"747.2";"754.9";"";"73";"Wind blowing from the west";"6";"10";"12";"60%.";" ";"";"";"-12.8";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"-16.5";"0.5";"12";"";"";"Even layer of loose dry snow covering ground completely.";"38.0";
"27.12.2021 03:00";"-10.9";"744.6";"752.2";"";"70";"Wind blowing from the west";"7";"10";"15";"40%.";"Shower(s) of snow pellets or small hail, with or without rain or rain and snow mixed, slight. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Rain.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"-15.3";"";"";"";"";"";"";
"27.12.2021 00:00";"-8.2";"741.5";"749.0";"";"85";"Wind blowing from the south-southwest";"6";"8";"";"100%.";"Continuous fall of snowflakes, slight at time of observation. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"300-600";"";"";"5.0";"-10.3";"";"";"";"";"";"";
"26.12.2021 21:00";"-8.6";"741.9";"749.4";"";"82";"Wind blowing from the south";"7";"8";"10";"100%.";"Continuous fall of snowflakes, slight at time of observation. ";"Shower(s).";"Snow and/or other types of solid precipitation";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"300-600";"";"";"9.0";"-11.1";"";"";"";"";"";"";
"26.12.2021 18:00";"-8.5";"742.9";"750.4";"";"74";"Wind blowing from the south";"5";"10";"10";"70 – 80%.";" ";"";"";"";"-8.5";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"1000-1500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"-12.3";"No precipitation";"12";"";"";"";"";
"26.12.2021 15:00";"-9.5";"743.8";"751.4";"";"75";"Wind blowing from the south";"4";"5";"12";"90  or more, but not 100%";"State of sky on the whole unchanged. ";"Blizzard";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"-13.1";"";"";"";"";"";"";
"26.12.2021 12:00";"-11.5";"744.8";"752.4";"";"79";"Wind blowing from the south";"9";"12";"12";"60%.";"Slight or moderate drifting snow generally low (below eye level). ";"Blizzard";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"-14.4";"";"";"";"";"";"";
"26.12.2021 09:00";"-15.7";"745.4";"753.2";"";"85";"Wind blowing from the south-southwest";"5";"7";"9";"60%.";"State of sky on the whole unchanged. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"-16.2";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"-17.6";"";"";"";"";"";"";
"26.12.2021 06:00";"-13.2";"744.7";"752.4";"";"75";"Wind blowing from the south-southwest";"4";"6";"7";"100%.";"State of sky on the whole unchanged. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"-13.3";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"600-1000";"";"";"10.0";"-16.7";"0.6";"12";"";"";"Even layer of loose dry snow covering ground completely.";"31.0";
"26.12.2021 03:00";"-11.3";"743.6";"751.2";"";"79";"Wind blowing from the south-west";"5";"7";"10";"100%.";"Continuous fall of snowflakes, slight at time of observation. ";"Snow and/or other types of solid precipitation";"Blizzard";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"600-1000";"";"";"10.0";"-14.2";"";"";"";"";"";"";
"26.12.2021 00:00";"-8.3";"741.4";"748.9";"";"74";"Wind blowing from the south-west";"5";"10";"13";"100%.";"Continuous fall of snowflakes, slight at time of observation. ";"Snow and/or other types of solid precipitation";"Blizzard";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"600-1000";"";"";"9.0";"-12.2";"";"";"";"";"";"";
"25.12.2021 21:00";"-6.8";"738.5";"745.9";"";"78";"Wind blowing from the west-southwest";"7";"7";"";"100%.";"Continuous fall of snowflakes, slight at time of observation. ";"Snow and/or other types of solid precipitation";"Blizzard";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"600-1000";"";"";"10.0";"-10.0";"";"";"";"";"";"";
"25.12.2021 18:00";"-6.9";"735.9";"743.3";"";"89";"Wind blowing from the south-southeast";"4";"6";"";"100%.";"Continuous fall of snowflakes, moderate at time of observation. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"-6.9";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"1.3";"-8.4";"3.0";"12";"";"";"";"";
"25.12.2021 15:00";"-8.1";"737.5";"745.0";"";"88";"Wind blowing from the south-southeast";"4";"";"9";"100%.";"Continuous fall of snowflakes, moderate at time of observation. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"1.3";"-9.7";"";"";"";"";"";"";
"25.12.2021 12:00";"-10.2";"740.6";"748.1";"";"84";"Wind blowing from the south-southeast";"4";"9";"11";"100%.";"Continuous fall of snowflakes, moderate at time of observation. ";"Shower(s).";"Snow and/or other types of solid precipitation";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"1.5";"-12.4";"";"";"";"";"";"";
"25.12.2021 09:00";"-13.6";"743.8";"751.5";"";"84";"Wind blowing from the south-southeast";"5";"";"11";"100%.";"Continuous fall of snowflakes, heavy at time of observation. ";"Shower(s).";"Snow and/or other types of solid precipitation";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"200-300";"";"";"1.0";"-15.8";"";"";"";"";"";"";
"25.12.2021 06:00";"-15.8";"746.8";"754.6";"";"79";"Wind blowing from the south-east";"4";"";"10";"100%.";" ";"";"";"-16.2";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"200-300";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"";"10.0";"-18.7";"No precipitation";"12";"";"";"Even layer of loose dry snow covering ground completely.";"29.0";
"25.12.2021 03:00";"-16.1";"749.2";"757.0";"";"75";"Wind blowing from the south";"6";"";"";"50%.";" ";"";"";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"40%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"-19.5";"";"";"";"";"";"";
"25.12.2021 00:00";"-14.7";"750.7";"758.5";"";"74";"Wind blowing from the south";"6";"8";"13";"50%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"-18.4";"";"";"";"";"";"";
"24.12.2021 21:00";"-12.6";"750.4";"758.1";"";"79";"Wind blowing from the south";"10";"13";"15";"100%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"300-600";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"";"10.0";"-15.6";"";"";"";"";"";"";
"24.12.2021 18:00";"-12.0";"749.9";"757.6";"";"77";"Wind blowing from the south-southwest";"9";"11";"12";"100%.";" ";"";"";"";"-11.3";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"";"10.0";"-15.2";"Trace of precipitation";"12";"";"";"";"";
"24.12.2021 15:00";"-11.9";"749.9";"757.6";"";"77";"Wind blowing from the south-southwest";"7";"9";"";"100%.";"State of sky on the whole unchanged. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"-15.1";"";"";"";"";"";"";
"24.12.2021 12:00";"-12.9";"750.3";"758.0";"";"77";"Wind blowing from the south-southwest";"6";"8";"11";"100%.";"State of sky on the whole unchanged. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"200-300";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"10.0";"-16.1";"";"";"";"";"";"";
"24.12.2021 09:00";"-14.5";"750.4";"758.2";"";"80";"Wind blowing from the south-southwest";"6";"9";"";"100%.";"State of sky on the whole unchanged. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"40%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"10.0";"-17.2";"";"";"";"";"";"";
